product_id,product_name,category,price
1072,Induction Cooktop Max,Home Appliances,78762
1073,Induction Cooktop Max,Home Appliances,19295
1074,Induction Cooktop Lite,Home Appliances,23519
1075,Electric Kettle Pro,Home Appliances,38531
1076,Electric Kettle Plus,Home Appliances,2136
1077,Electric Kettle Plus,Home Appliances,7307
1078,Water Purifier Plus,Home Appliances,68521
1079,Water Purifier Plus,Home Appliances,51769
1080,Water Purifier Pro,Home Appliances,28576
1081,Office Chair Lite,Furniture,51517
1082,Office Chair Max,Furniture,65781
1083,Office Chair Max,Furniture,62000
1084,Study Table Lite,Furniture,19013
1085,Study Table Plus,Furniture,30817
1086,Study Table Lite,Furniture,24412
1087,Bookshelf Lite,Furniture,45040
1088,Bookshelf Pro,Furniture,11521
1089,Bookshelf Lite,Furniture,27654
1090,Wardrobe Lite,Furniture,52206
1091,Wardrobe Plus,Furniture,47226
1092,Wardrobe Pro,Furniture,64881
1093,Coffee Table Pro,Furniture,21494
1094,Coffee Table Plus,Furniture,55302
1095,Coffee Table Plus,Furniture,27906
1096,Sofa Max,Furniture,12788
1097,Sofa Plus,Furniture,43388
1098,Sofa Max,Furniture,38752
1099,Facewash Plus,Beauty,35564
1100,Facewash Plus,Beauty,57669
1101,Facewash Lite,Beauty,24786
1102,Moisturizer Plus,Beauty,51807
1103,Moisturizer Max,Beauty,4767
1104,Moisturizer Pro,Beauty,42819
1105,Perfume Pro,Beauty,10198
1106,Perfume Pro,Beauty,62922
1107,Perfume Max,Beauty,46956
1108,Shampoo Pro,Beauty,77711
1109,Shampoo Plus,Beauty,17445
1110,Shampoo Lite,Beauty,59782
1111,Conditioner Lite,Beauty,33285
1112,Conditioner Plus,Beauty,56209
1113,Conditioner Lite,Beauty,36507
1114,Sunscreen Max,Beauty,68099
1115,Sunscreen Pro,Beauty,52236
1116,Sunscreen Lite,Beauty,63391
1117,Hair Oil Max,Beauty,47455
1118,Hair Oil Pro,Beauty,6614
1119,Hair Oil Max,Beauty,35479
1120,Yoga Mat Max,Sports,13411
1121,Yoga Mat Pro,Sports,52443
1122,Yoga Mat Pro,Sports,33261
1123,Dumbbells Max,Sports,5305
1124,Dumbbells Max,Sports,67206
1125,Dumbbells Pro,Sports,54660
1126,Treadmill Max,Sports,42541
1127,Treadmill Pro,Sports,48957
1128,Treadmill Max,Sports,39033
1129,Cricket Bat Plus,Sports,74527
1130,Cricket Bat Max,Sports,41319
1131,Cricket Bat Lite,Sports,13983
1132,Football Lite,Sports,70510
1133,Football Pro,Sports,47319
1134,Football Max,Sports,45496
1135,Badminton Racket Plus,Sports,66048
1136,Badminton Racket Plus,Sports,11850
1137,Badminton Racket Lite,Sports,2684
1138,Fiction Novel Max,Books,29097
1139,Fiction Novel Lite,Books,63288
1140,Fiction Novel Lite,Books,4245
1141,Science Book Max,Books,66502
1142,Science Book Pro,Books,34964
1143,Science Book Plus,Books,69740
1144,Self Help Book Plus,Books,6893
1145,Self Help Book Lite,Books,44025
1146,Self Help Book Max,Books,48270
1147,Business Book Plus,Books,1078
1148,Business Book Lite,Books,71763
1149,Business Book Plus,Books,8164
1150,Programming Book Plus,Books,20500
1151,Programming Book Plus,Books,6787
1152,Programming Book Pro,Books,5227
1153,Backpack Plus,Accessories,35567
1154,Backpack Max,Accessories,49308
1155,Backpack Lite,Accessories,48052
1156,Laptop Bag Pro,Accessories,65785
1157,Laptop Bag Lite,Accessories,24640
1158,Laptop Bag Lite,Accessories,76724
1159,Sunglasses Pro,Accessories,69336
1160,Sunglasses Pro,Accessories,32372
1161,Sunglasses Lite,Accessories,6598
1162,Wallet Pro,Accessories,13830
1163,Wallet Max,Accessories,44337
1164,Wallet Pro,Accessories,44817
1165,Travel Bag Pro,Accessories,7305
1166,Travel Bag Pro,Accessories,16411
1167,Travel Bag Max,Accessories,65000
