weekday_number,weekday_name,order_hour,total_revenue,total_orders,active_customers
2,Wednesday,5,14087457.0,419,409
2,Wednesday,6,14255227.0,458,442
2,Wednesday,7,15305664.0,443,430
2,Wednesday,8,12496715.0,454,444
2,Wednesday,9,14294976.0,471,457
2,Wednesday,10,131935431.0,4318,3631
2,Wednesday,11,129762751.0,4355,3655
2,Wednesday,12,133330280.0,4425,3675
2,Wednesday,13,13841089.0,415,406
2,Wednesday,14,13586260.0,437,425
2,Wednesday,15,14979620.0,446,432
2,Wednesday,16,13449881.0,435,428
2,Wednesday,17,137253174.0,4462,3758
2,Wednesday,18,140769989.0,4534,3777
2,Wednesday,19,133412587.0,4348,3652
2,Wednesday,20,137914952.0,4588,3810
2,Wednesday,21,132516664.0,4411,3702
2,Wednesday,22,13355273.0,429,412
2,Wednesday,23,12913660.0,454,450
3,Thursday,0,12686356.0,430,420
3,Thursday,1,12835514.0,440,427
3,Thursday,2,13520900.0,456,439
3,Thursday,3,14493658.0,452,441
3,Thursday,4,12643970.0,429,419
3,Thursday,5,13918460.0,444,434
3,Thursday,6,11837118.0,409,403
3,Thursday,7,14855191.0,460,448
3,Thursday,8,14774523.0,469,458
3,Thursday,9,12123668.0,441,428
3,Thursday,10,135606640.0,4449,3687
3,Thursday,11,132403804.0,4434,3717
3,Thursday,12,135001152.0,4484,3727
3,Thursday,13,14466983.0,446,434
3,Thursday,14,14790325.0,477,465
3,Thursday,15,11812923.0,421,412
3,Thursday,16,13346006.0,458,445
3,Thursday,17,138770860.0,4421,3635
3,Thursday,18,139638314.0,4589,3792
3,Thursday,19,139759457.0,4438,3730
3,Thursday,20,136163874.0,4483,3740
3,Thursday,21,137508035.0,4487,3722
3,Thursday,22,14055702.0,466,456
3,Thursday,23,13375985.0,440,435
4,Friday,0,13247024.0,429,414
4,Friday,1,13437636.0,465,452
4,Friday,2,12153166.0,389,381
4,Friday,3,13383497.0,460,448
4,Friday,4,12969948.0,451,439
4,Friday,5,14221584.0,451,439
4,Friday,6,14672429.0,424,416
4,Friday,7,14350960.0,447,434
4,Friday,8,12946271.0,445,427
4,Friday,9,13576593.0,417,410
4,Friday,10,138467898.0,4458,3719
4,Friday,11,133119814.0,4424,3685
4,Friday,12,135864244.0,4338,3614
4,Friday,13,12793368.0,430,418
4,Friday,14,12523332.0,422,415
4,Friday,15,14544754.0,462,451
4,Friday,16,14205117.0,458,448
4,Friday,17,138296031.0,4469,3727
4,Friday,18,148038448.0,4583,3841
4,Friday,19,143682419.0,4489,3742
4,Friday,20,136256690.0,4352,3686
4,Friday,21,137237227.0,4530,3767
4,Friday,22,13441569.0,419,410
4,Friday,23,13408317.0,423,415
5,Saturday,0,15195967.0,474,459
5,Saturday,1,14779661.0,471,457
5,Saturday,2,14550462.0,458,446
5,Saturday,3,14610995.0,433,420
5,Saturday,4,11936561.0,417,408
5,Saturday,5,13419449.0,452,438
5,Saturday,6,15312721.0,459,448
5,Saturday,7,12786912.0,436,425
5,Saturday,8,13483581.0,454,443
5,Saturday,9,14402297.0,456,447
5,Saturday,10,136267818.0,4461,3705
5,Saturday,11,135567570.0,4440,3709
5,Saturday,12,133638526.0,4429,3702
5,Saturday,13,15892759.0,482,464
5,Saturday,14,14362733.0,451,439
5,Saturday,15,12265950.0,411,399
5,Saturday,16,13967920.0,405,393
5,Saturday,17,139072917.0,4500,3722
5,Saturday,18,139251529.0,4494,3749
5,Saturday,19,136787911.0,4467,3731
5,Saturday,20,138442822.0,4483,3761
5,Saturday,21,135418093.0,4359,3657
5,Saturday,22,12692092.0,434,429
5,Saturday,23,14218520.0,455,447
6,Sunday,0,14070597.0,492,477
6,Sunday,1,14977061.0,458,450
6,Sunday,2,13392865.0,449,441
6,Sunday,3,14222221.0,450,442
6,Sunday,4,15159330.0,464,448
6,Sunday,5,14615140.0,460,443
6,Sunday,6,14031921.0,471,460
6,Sunday,7,12611099.0,444,431
6,Sunday,8,15243040.0,475,453
6,Sunday,9,12435967.0,430,420
6,Sunday,10,134693421.0,4469,3709
6,Sunday,11,138352918.0,4541,3749
6,Sunday,12,139727050.0,4483,3701
6,Sunday,13,14126424.0,459,452
6,Sunday,14,12979475.0,434,427
6,Sunday,15,14694326.0,465,454
6,Sunday,16,14114753.0,435,426
6,Sunday,17,131168061.0,4256,3560
6,Sunday,18,141125774.0,4472,3733
6,Sunday,19,144778071.0,4496,3736
6,Sunday,20,137455284.0,4425,3698
6,Sunday,21,136883085.0,4464,3749
6,Sunday,22,13525326.0,430,422
6,Sunday,23,13592535.0,461,451
